Edge1-Edge2	KappaScore
R-HSA:2172678 (term-term) R-HSA:157579	0.8811188811188815
R-HSA:2172678 (term-term) R-HSA:171306	1.0
R-HSA:2172678 (term-term) R-HSA:176700	1.0
R-HSA:2172678 (term-term) R-HSA:181450	1.0
R-HSA:2172678 (term-term) R-HSA:1912408	1.0
R-HSA:2172678 (term-term) R-HSA:201681	0.48927038626609465
R-HSA:2172678 (term-term) R-HSA:201722	0.8811188811188815
R-HSA:2172678 (term-term) R-HSA:212165	0.7848101265822786
R-HSA:2172678 (term-term) R-HSA:212222	0.8811188811188815
R-HSA:2172678 (term-term) R-HSA:212252	1.0
R-HSA:2172678 (term-term) R-HSA:212263	1.0
R-HSA:2172678 (term-term) R-HSA:212269	0.8811188811188815
R-HSA:2172678 (term-term) R-HSA:212300	0.8811188811188815
R-HSA:2245218 (term-term) KEGG:05203	0.5812807881773403
R-HSA:2245218 (term-term) R-HSA:110328	1.0
R-HSA:2245218 (term-term) R-HSA:110329	1.0
R-HSA:2245218 (term-term) R-HSA:110330	1.0
R-HSA:2245218 (term-term) R-HSA:110331	1.0
R-HSA:2245218 (term-term) R-HSA:1214188	1.0
R-HSA:2245218 (term-term) R-HSA:1221632	0.7848101265822786
R-HSA:2245218 (term-term) R-HSA:1474165	0.7848101265822786
R-HSA:2245218 (term-term) R-HSA:1500620	0.7848101265822786
R-HSA:2245218 (term-term) R-HSA:157579	0.8811188811188815
R-HSA:2245218 (term-term) R-HSA:171306	1.0
R-HSA:2245218 (term-term) R-HSA:176700	1.0
R-HSA:2245218 (term-term) R-HSA:181450	1.0
R-HSA:2245218 (term-term) R-HSA:1912408	1.0
R-HSA:2245218 (term-term) R-HSA:201681	0.48927038626609465
R-HSA:2245218 (term-term) R-HSA:201722	0.8811188811188815
R-HSA:2245218 (term-term) R-HSA:212165	0.7848101265822786
R-HSA:2245218 (term-term) R-HSA:212222	0.8811188811188815
R-HSA:2245218 (term-term) R-HSA:212252	1.0
R-HSA:2245218 (term-term) R-HSA:212263	1.0
R-HSA:2245218 (term-term) R-HSA:212269	0.8811188811188815
R-HSA:2245218 (term-term) R-HSA:212300	0.8811188811188815
R-HSA:2245218 (term-term) R-HSA:2172678	1.0
R-HSA:2288097 (term-term) KEGG:05203	0.5812807881773403
R-HSA:2288097 (term-term) R-HSA:110328	1.0
R-HSA:2288097 (term-term) R-HSA:110329	1.0
R-HSA:2288097 (term-term) R-HSA:110330	1.0
R-HSA:2288097 (term-term) R-HSA:110331	1.0
R-HSA:2288097 (term-term) R-HSA:1214188	1.0
R-HSA:2288097 (term-term) R-HSA:1221632	0.7848101265822786
R-HSA:2288097 (term-term) R-HSA:1474165	0.7848101265822786
R-HSA:2288097 (term-term) R-HSA:1500620	0.7848101265822786
R-HSA:2288097 (term-term) R-HSA:157579	0.8811188811188815
R-HSA:2288097 (term-term) R-HSA:171306	1.0
R-HSA:2288097 (term-term) R-HSA:176700	1.0
R-HSA:2288097 (term-term) R-HSA:181450	1.0
R-HSA:2288097 (term-term) R-HSA:1912408	1.0
R-HSA:2288097 (term-term) R-HSA:201681	0.48927038626609465
R-HSA:2288097 (term-term) R-HSA:201722	0.8811188811188815
R-HSA:2288097 (term-term) R-HSA:212165	0.7848101265822786
R-HSA:2288097 (term-term) R-HSA:212222	0.8811188811188815
R-HSA:2288097 (term-term) R-HSA:212252	1.0
R-HSA:2288097 (term-term) R-HSA:212263	1.0
R-HSA:2288097 (term-term) R-HSA:212269	0.8811188811188815
R-HSA:2288097 (term-term) R-HSA:212300	0.8811188811188815
R-HSA:2288097 (term-term) R-HSA:2172678	1.0
R-HSA:2288097 (term-term) R-HSA:2245218	1.0
R-HSA:2294574 (term-term) KEGG:05203	0.5812807881773403
R-HSA:2294574 (term-term) R-HSA:110328	1.0
R-HSA:2294574 (term-term) R-HSA:110329	1.0
R-HSA:2294574 (term-term) R-HSA:110330	1.0
R-HSA:2294574 (term-term) R-HSA:110331	1.0
R-HSA:2294574 (term-term) R-HSA:1214188	1.0
R-HSA:2294574 (term-term) R-HSA:1221632	0.7848101265822786
R-HSA:2294574 (term-term) R-HSA:1474165	0.7848101265822786
R-HSA:2294574 (term-term) R-HSA:1500620	0.7848101265822786
R-HSA:2294574 (term-term) R-HSA:157579	0.8811188811188815
R-HSA:2294574 (term-term) R-HSA:171306	1.0
R-HSA:2294574 (term-term) R-HSA:176700	1.0
R-HSA:2294574 (term-term) R-HSA:181450	1.0
R-HSA:2294574 (term-term) R-HSA:1912408	1.0
R-HSA:2294574 (term-term) R-HSA:201681	0.48927038626609465
R-HSA:2294574 (term-term) R-HSA:201722	0.8811188811188815
R-HSA:2294574 (term-term) R-HSA:212165	0.7848101265822786
R-HSA:2294574 (term-term) R-HSA:212222	0.8811188811188815
R-HSA:2294574 (term-term) R-HSA:212252	1.0
R-HSA:2294574 (term-term) R-HSA:212263	1.0
R-HSA:2294574 (term-term) R-HSA:212269	0.8811188811188815
R-HSA:2294574 (term-term) R-HSA:212300	0.8811188811188815
R-HSA:2294574 (term-term) R-HSA:2172678	1.0
R-HSA:2294574 (term-term) R-HSA:2245218	1.0
R-HSA:2294574 (term-term) R-HSA:2288097	1.0
R-HSA:2294580 (term-term) KEGG:05203	0.5812807881773403
R-HSA:2294580 (term-term) R-HSA:110328	1.0
R-HSA:2294580 (term-term) R-HSA:110329	1.0
R-HSA:2294580 (term-term) R-HSA:110330	1.0
R-HSA:2294580 (term-term) R-HSA:110331	1.0
R-HSA:2294580 (term-term) R-HSA:1214188	1.0
R-HSA:2294580 (term-term) R-HSA:1221632	0.7848101265822786
R-HSA:2294580 (term-term) R-HSA:1474165	0.7848101265822786
R-HSA:2294580 (term-term) R-HSA:1500620	0.7848101265822786
R-HSA:2294580 (term-term) R-HSA:157579	0.8811188811188815
R-HSA:2294580 (term-term) R-HSA:171306	1.0
R-HSA:2294580 (term-term) R-HSA:176700	1.0
R-HSA:2294580 (term-term) R-HSA:181450	1.0
R-HSA:2294580 (term-term) R-HSA:1912408	1.0
R-HSA:2294580 (term-term) R-HSA:201681	0.48927038626609465
R-HSA:2294580 (term-term) R-HSA:201722	0.8811188811188815
R-HSA:2294580 (term-term) R-HSA:212165	0.7848101265822786
R-HSA:2294580 (term-term) R-HSA:212222	0.8811188811188815
R-HSA:2294580 (term-term) R-HSA:212252	1.0
R-HSA:2294580 (term-term) R-HSA:212263	1.0
R-HSA:2294580 (term-term) R-HSA:212269	0.8811188811188815
R-HSA:2294580 (term-term) R-HSA:212300	0.8811188811188815
R-HSA:2294580 (term-term) R-HSA:2172678	1.0
R-HSA:2294580 (term-term) R-HSA:2245218	1.0
R-HSA:2294580 (term-term) R-HSA:2288097	1.0
R-HSA:2294580 (term-term) R-HSA:2294574	1.0
R-HSA:2294590 (term-term) KEGG:05203	0.5812807881773403
R-HSA:2294590 (term-term) R-HSA:110328	1.0
R-HSA:2294590 (term-term) R-HSA:110329	1.0
R-HSA:2294590 (term-term) R-HSA:110330	1.0
R-HSA:2294590 (term-term) R-HSA:110331	1.0
R-HSA:2294590 (term-term) R-HSA:1214188	1.0
R-HSA:2294590 (term-term) R-HSA:1221632	0.7848101265822786
R-HSA:2294590 (term-term) R-HSA:1474165	0.7848101265822786
R-HSA:2294590 (term-term) R-HSA:1500620	0.7848101265822786
R-HSA:2294590 (term-term) R-HSA:157579	0.8811188811188815
R-HSA:2294590 (term-term) R-HSA:171306	1.0
R-HSA:2294590 (term-term) R-HSA:176700	1.0
R-HSA:2294590 (term-term) R-HSA:181450	1.0
R-HSA:2294590 (term-term) R-HSA:1912408	1.0
R-HSA:2294590 (term-term) R-HSA:201681	0.48927038626609465
R-HSA:2294590 (term-term) R-HSA:201722	0.8811188811188815
R-HSA:2294590 (term-term) R-HSA:212165	0.7848101265822786
R-HSA:2294590 (term-term) R-HSA:212222	0.8811188811188815
R-HSA:2294590 (term-term) R-HSA:212252	1.0
R-HSA:2294590 (term-term) R-HSA:212263	1.0
R-HSA:2294590 (term-term) R-HSA:212269	0.8811188811188815
R-HSA:2294590 (term-term) R-HSA:212300	0.8811188811188815
R-HSA:2294590 (term-term) R-HSA:2172678	1.0
R-HSA:2294590 (term-term) R-HSA:2245218	1.0
R-HSA:2294590 (term-term) R-HSA:2288097	1.0
R-HSA:2294590 (term-term) R-HSA:2294574	1.0
R-HSA:2294590 (term-term) R-HSA:2294580	1.0
R-HSA:2294600 (term-term) KEGG:05203	0.5812807881773403
R-HSA:2294600 (term-term) R-HSA:110328	1.0
R-HSA:2294600 (term-term) R-HSA:110329	1.0
R-HSA:2294600 (term-term) R-HSA:110330	1.0
R-HSA:2294600 (term-term) R-HSA:110331	1.0
R-HSA:2294600 (term-term) R-HSA:1214188	1.0
R-HSA:2294600 (term-term) R-HSA:1221632	0.7848101265822786
R-HSA:2294600 (term-term) R-HSA:1474165	0.7848101265822786
R-HSA:2294600 (term-term) R-HSA:1500620	0.7848101265822786
R-HSA:2294600 (term-term) R-HSA:157579	0.8811188811188815
R-HSA:2294600 (term-term) R-HSA:171306	1.0
R-HSA:2294600 (term-term) R-HSA:176700	1.0
R-HSA:2294600 (term-term) R-HSA:181450	1.0
R-HSA:2294600 (term-term) R-HSA:1912408	1.0
R-HSA:2294600 (term-term) R-HSA:201681	0.48927038626609465
R-HSA:2294600 (term-term) R-HSA:201722	0.8811188811188815
R-HSA:2294600 (term-term) R-HSA:212165	0.7848101265822786
R-HSA:2294600 (term-term) R-HSA:212222	0.8811188811188815
R-HSA:2294600 (term-term) R-HSA:212252	1.0
R-HSA:2294600 (term-term) R-HSA:212263	1.0
R-HSA:2294600 (term-term) R-HSA:212269	0.8811188811188815
R-HSA:2294600 (term-term) R-HSA:212300	0.8811188811188815
R-HSA:2294600 (term-term) R-HSA:2172678	1.0
R-HSA:2294600 (term-term) R-HSA:2245218	1.0
R-HSA:2294600 (term-term) R-HSA:2288097	1.0
R-HSA:2294600 (term-term) R-HSA:2294574	1.0
R-HSA:2294600 (term-term) R-HSA:2294580	1.0
R-HSA:2294600 (term-term) R-HSA:2294590	1.0
R-HSA:2299718 (term-term) KEGG:05203	0.5812807881773403
R-HSA:2299718 (term-term) R-HSA:110328	1.0
R-HSA:2299718 (term-term) R-HSA:110329	1.0
R-HSA:2299718 (term-term) R-HSA:110330	1.0
R-HSA:2299718 (term-term) R-HSA:110331	1.0
R-HSA:2299718 (term-term) R-HSA:1214188	1.0
R-HSA:2299718 (term-term) R-HSA:1221632	0.7848101265822786
R-HSA:2299718 (term-term) R-HSA:1474165	0.7848101265822786
R-HSA:2299718 (term-term) R-HSA:1500620	0.7848101265822786
R-HSA:2299718 (term-term) R-HSA:157579	0.8811188811188815
R-HSA:2299718 (term-term) R-HSA:171306	1.0
R-HSA:2299718 (term-term) R-HSA:176700	1.0
R-HSA:2299718 (term-term) R-HSA:181450	1.0
R-HSA:2299718 (term-term) R-HSA:1912408	1.0
R-HSA:2299718 (term-term) R-HSA:201681	0.48927038626609465
R-HSA:2299718 (term-term) R-HSA:201722	0.8811188811188815
R-HSA:2299718 (term-term) R-HSA:212165	0.7848101265822786
R-HSA:2299718 (term-term) R-HSA:212222	0.8811188811188815
R-HSA:2299718 (term-term) R-HSA:212252	1.0
R-HSA:2299718 (term-term) R-HSA:212263	1.0
R-HSA:2299718 (term-term) R-HSA:212269	0.8811188811188815
R-HSA:2299718 (term-term) R-HSA:212300	0.8811188811188815
