,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FBgn0000520,1152.861913,0.158513613,0.321917588,0.492404326,0.622433541,0.79707376
FBgn0000524,5.32406771,-0.849060589,0.891624309,-0.952262719,0.34096376,NA
FBgn0000527,17.67580913,0.213078225,0.889728124,0.239486894,0.810728058,0.910787755
FBgn0000529,8445.064962,-5.580360806,0.865173414,-6.449991084,NA,NA
FBgn0000533,7.088863605,-0.650748675,0.789896562,-0.823840369,0.410030266,0.634875001
FBgn0000535,4078.738949,-2.081352006,0.393656268,-5.287231967,1.24E-07,2.54E-06
FBgn0000536,4480.628211,0.566080991,0.222302545,2.546444038,0.010882666,0.05402287
FBgn0000541,10479.15837,-0.30551687,0.260540506,-1.172627144,0.240945359,0.468397391
FBgn0000542,7.721013782,-0.480487222,0.884773493,-0.543062406,0.587086836,0.771124845
FBgn0000543,2289.130669,0.719654683,0.287796301,2.500569611,0.012399376,0.059234176
FBgn0000546,8891.090626,-0.026095801,0.277626043,-0.093996229,0.925112152,0.965425622
FBgn0000547,2304.523715,-4.39045856,0.587858368,-7.468565223,8.11E-14,2.95E-12
FBgn0000551,8.75106049,0.120580811,0.896913211,0.134439776,0.893054831,0.950569957
FBgn0000552,1.342371437,-0.10989245,0.627360644,-0.175166311,NA,NA
FBgn0000556,5820.394596,0.272844569,0.305987596,0.891685063,0.372561762,0.601915881
FBgn0000557,39712.60472,-0.537684573,0.228922407,-2.348763415,0.018835871,0.081731814
FBgn0000559,39115.63127,-0.873468243,0.266971336,-3.271767884,0.001068773,0.007982108
FBgn0000560,4.977933046,0.124598958,0.676374204,0.184216011,NA,NA
FBgn0000562,1175.952027,-1.979188735,0.465761151,-4.249364149,2.14E-05,0.000273191
FBgn0000564,1.376643996,-0.540113489,0.643876112,-0.838846912,0.401555222,NA
FBgn0000565,1566.120852,0.746566337,0.35212104,2.120198036,0.033989348,0.12570113
FBgn0000566,908.3644605,-0.622305417,0.303209175,-2.052396393,0.040131155,0.142422988
FBgn0000567,1221.020322,0.682248957,0.316919265,2.152753187,0.031338081,0.119116685
FBgn0000568,34861.58392,-0.121570592,0.260064899,-0.467462514,0.640169005,0.809404284
FBgn0000575,31518.70431,1.256046704,0.195759878,6.41626219,1.40E-10,3.88E-09
FBgn0000576,1.008225869,-0.307609646,0.641913966,-0.479206969,0.631791397,NA
FBgn0000577,3.66849811,0.205463002,0.780748088,0.263161711,0.792425941,NA
FBgn0000578,1892.165561,0.318974381,0.280977621,1.135230557,0.256278729,0.485821001
